Timestamp,What is the job title that best describes your role when using Xarray?,What field do you work in?,How did you hear about this survey?,How often do you use Xarray?,How many years have you been using Xarray?,How do you rate your level of Xarray proficiency?,"For your applications that use Xarray, how critical is Xarray?",Is Xarray stable enough for you?,What Xarray resources have you used for support in the last six months?,"Which of Xarray's core features are most important to you? [Label-based indexing, interpolation, groupby, reindexing, and computation]",Which of Xarray's core features are most important to you? [Reading and writing files],Which of Xarray's core features are most important to you? [Parallel computation with Dask],Which of Xarray's core features are most important to you? [Interoperability with Pandas],Which of Xarray's core features are most important to you? [Plotting],Where do you use Xarray? [Personal laptop],Where do you use Xarray? [Large workstation],Where do you use Xarray? [HPC cluster],Where do you use Xarray? [Cloud cluster],Interactive or batch? [Interactive:  I use Xarray with Jupyter or IPython when playing with data],Interactive or batch? [Batch: I use Xarray in scripts that run in the future],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 3*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 4*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Zarr*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GRIB*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GeoTIFF*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Python Pickle*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [HDF 4/5],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other Image format (PNG, JPG, TIFF, etc.)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Video (e.g. MP4)],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Database (e.g. MongoDB)],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Tensors (e.g. PyTorch, Tensorflow, NumPy)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other],"If you answered ""Other"" above, please list any additional formats:",How easy is it for you to upgrade to newer versions of Python libraries?,"What are some other libraries that you often use with Xarray? (e.g. ""dask, pandas, scikit-learn"") ",What would make Xarray even more useful for your work?,What development activities would help you most right now? [Bug fixes],What development activities would help you most right now? [More documentation],What development activities would help you most right now? [More examples in my domain],What development activities would help you most right now? [New features],What development activities would help you most right now? [Performance improvements],"What common feature requests do you care about most? [More flexible indexing (i.e. selection, alignment)]","What common feature requests do you care about most? [More flexible backend arrays (e.g. Dask, CuPy, Pint, Sparse)]","What common feature requests do you care about most? [More flexible file IO (e.g. netCDF, Zarr, DB)]",What common feature requests do you care about most? [Better physical unit support],What common feature requests do you care about most? [Better documentation / more examples from my field],"What common feature requests do you care about most? [Better interoperability with Machine Learning libraries (e.g. Scikit-learn, Tensorflow)]",Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [CuPy (GPU) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Sparse arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Dask arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Pint (unit-aware) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Other],"If you answered ""Other"" above, list any additional array types:",Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Rewrite introductory material to be more generic (less focused on NetCDF and geoscience applications)],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [A more modern web design],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of domain-specific interactive tutorials],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of generic examples for common workflow patterns],,
1/6/2021 10:29:03,"Domain scientist / researcher, Software engineer / developer",Geosciences,Pangeo Discorse,Regularly (~weekly),,2,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (reading past issues)",2,3,5 (most),1 (least),4,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Most days,Most days,,Most days,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Regularly (~weekly),,,4,"numpy, scipy, dask, gdal/rasterio",,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Very interested,,,3,4 (lowest priority),1 (highest priority),2,,
1/6/2021 10:29:52,Student,"Geosciences, Statistics & Machine Learning",Former coworker,Regularly (~weekly),3,3,3,Yes,,5 (most),3,1 (least),4,2,Occasionally (~monthly),,Most days,,Regularly (~weekly),Regularly (~weekly),,Regularly (~weekly),,,,,Occasionally (~monthly),,,,,,,4,pandas; scikit-learn,,,Very useful,,Somewhat useful,,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant,Very useful,Critical,Very interested,Somewhat interested,Somewhat interested,Not interested,,,3,1 (highest priority),2,4 (lowest priority),,
1/6/2021 10:40:44,Domain scientist / researcher,"Statistics & Machine Learning, Neuroscience",Twitter,Most days,2,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,1 (least),2,3,Most days,Occasionally (~monthly),Most days,Most days,Most days,Most days,,Most days,,,,,Occasionally (~monthly),,,,,,,3,"""pandas, seaborn, matplotlib""","- Improved indexing : for selecting multiple occurrences
- Better support of multi-indexing : especially the possibility to save multi-index
- Better image plotting : imshow with strings for y-axis didn't work last time I tried
- Better integration with seaborn (even if it's already really easy though pandas conversion)
- Clarification about dims / cords definition (e.g the method assign_coords is never clear to me)
- Doc is not always clear, especially because there's many ways to define inputs, which is nice ! But sometimes it's also confusing",Critical,Very useful,Very useful,Somewhat useful,Somewhat useful,Critical,Critical,Somewhat useful,Not relevant,Very useful,Somewhat useful,Very interested,Somewhat interested,Not interested,Not interested,,,1 (highest priority),4 (lowest priority),2,3,,
1/6/2021 10:44:32,"Domain scientist / researcher, Software engineer / developer","Astrophysics, Physics",GitHub,Never,0,1,0,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/)",5 (most),4,2,1 (least),3,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,,4,,The only reason that I have not used Xarray has been lack of support for astropy.units.  ,Somewhat useful,Very useful,Very useful,Critical,Not relevant,Somewhat useful,Very useful,Somewhat useful,Critical,Very useful,Not relevant,Not interested,Somewhat interested,Somewhat interested,Very interested,Not interested,,2,4 (lowest priority),3,1 (highest priority),,
1/6/2021 10:45:00,Software engineer / developer,Geosciences,Friend,Regularly (~weekly),1,1,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (reading past issues), Github Discussions",3,1 (least),5 (most),4,2,Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Never,Never,Never,Never,Never,Never,Never,Regularly (~weekly),,,3,"dask, pandas, geocat",,Very useful,Very useful,Very useful,Very useful,Critical,Very useful,Very useful,Critical,Very useful,Critical,Critical,Not interested,Very interested,Very interested,Not interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 10:52:23,"Domain scientist / researcher, Software engineer / developer",Finance,GitHub,Regularly (~weekly),3,3,4,Yes,"Documentation (http://xarray.pydata.org/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),3,1 (least),4,2,Most days,Never,Never,Never,Occasionally (~monthly),Regularly (~weekly),Never,Regularly (~weekly),Never,Never,Never,Never,Regularly (~weekly),Never,Never,Never,Occasionally (~monthly),Never,,3,"pandas, numba",speed and better typing,Very useful,Somewhat useful,Not relevant,Not relevant,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Not relevant,Not interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,,4 (lowest priority),2,3,1 (highest priority),,
1/6/2021 10:55:03,Domain scientist / researcher,Geosciences,Mailing list,Occasionally (~monthly),2,1,1,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",5 (most),4,3,1 (least),2,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,2,,,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Not relevant,Very useful,Not relevant,Not interested,Somewhat interested,Somewhat interested,Not interested,Not interested,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 10:56:49,Domain scientist / researcher,"Biosciences, Statistics & Machine Learning",Twitter,Most days,3,3,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), GitHub issue trackers (reading past issues)",5 (most),2,,4,3,Occasionally (~monthly),Most days,Never,Never,Most days,Occasionally (~monthly),,Most days,Most days,,,,,,,,,,,4,"pandas, arviz, seaborn",Tree-like structure similar to netcdf,Very useful,Somewhat useful,,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat interested,Somewhat interested,Somewhat interested,Somewhat interested,,,1 (highest priority),4 (lowest priority),3,2,,
1/6/2021 11:04:21,"Domain scientist / researcher, Data scientist, Software engineer / developer",Geosciences,Slack channels,Most days,4,2,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (reading past issues)",5 (most),4,2,1 (least),3,Most days,Regularly (~weekly),Never,Occasionally (~monthly),Most days,Most days,Most days,Most days,Regularly (~weekly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,,3,"Pandas, GeoPandas, Dask, rioxarray",,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Not interested,Somewhat interested,Very interested,Somewhat interested,Not interested,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 11:06:47,"Data scientist, Software engineer / developer",Sports Analytics,Mailing list,Regularly (~weekly),4,4,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),2,3,4,1 (least),Regularly (~weekly),Never,Never,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Never,Occasionally (~monthly),Never,Never,Never,Never,Regularly (~weekly),Never,Never,Never,Occasionally (~monthly),Never,,3,"pandas, numpy, pytorch",ability to use pytorch as the vector backend,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Critical,Very interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 11:11:14,"Student, Domain scientist / researcher",Geosciences,Twitter,Most days,2,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),4,3,2,1 (least),Most days,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Most days,Regularly (~weekly),,Most days,Most days,Regularly (~weekly),Never,Most days,Never,Never,Never,Never,Never,Never,,4,"Cartopy, wrf-Python, pandas, ",,Somewhat useful,Very useful,Somewhat useful,Very useful,Critical,Very useful,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat interested,Not interested,Somewhat interested,Not interested,Not interested,,2,4 (lowest priority),3,1 (highest priority),,
1/6/2021 11:21:02,Domain scientist / researcher,Geosciences,Twitter,Regularly (~weekly),3,2,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),4,3,1 (least),2,Regularly (~weekly),,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),,,3,"pandas, dask, matplotlib, seaborn, geopandas, rasterio, other geospatial and analysis libs","improved flexibility wrt masking, weights, regridding, etc., more add-on viz libraries, better functionality for non-gridded (but still N-dimensional) data",Critical,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,,,2,3,4 (lowest priority),1 (highest priority),,
1/6/2021 11:22:49,Software engineer / developer,"Biosciences, Geosciences, Astrophysics, Statistics & Machine Learning, Finance, Microscopy",gitter,Most days,4,1,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),4,3,2,1 (least),Most days,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Most days,Occasionally (~monthly),,Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,,,4,"datashader, holoviews, hvplot, geoviews","more general support for projections/coordinates, e.g. to cover World Coordinate Systems for solar / space weather data",Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very interested,Very interested,Very interested,Very interested,,,1 (highest priority),2,4 (lowest priority),3,,
1/6/2021 11:57:25,Student,Geosciences,Friend,Most days,4,3,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), GitHub issue trackers (reading past issues)",5 (most),2,4,3,1 (least),Occasionally (~monthly),Regularly (~weekly),Most days,Never,Most days,Regularly (~weekly),Regularly (~weekly),Most days,Never,Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Occasionally (~monthly),,,3,dask,,Very useful,Somewhat useful,Not relevant,Very useful,Very useful,Very useful,Somewhat useful,Critical,Very useful,Somewhat useful,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Not interested,,,4 (lowest priority),3,2,1 (highest priority),,
1/6/2021 12:07:47,"Data scientist, Software engineer / developer",Statistics & Machine Learning,GitHub,Occasionally (~monthly),1,1,1,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), GitHub issue trackers (reading past issues)",4,2,3,5 (most),1 (least),Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Occasionally (~monthly),Never,,4,scikit-learn,Support CSR/CSC matrices,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Not relevant,Somewhat useful,Critical,Very interested,Very interested,Very interested,Somewhat interested,Not interested,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 12:31:59,"Domain scientist / researcher, Data scientist",Geosciences,Mailing list,Regularly (~weekly),5,2,3,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",5 (most),4,3,1 (least),2,Regularly (~weekly),Never,Occasionally (~monthly),Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,,4,"dask, pandas, xesmf, xgcm",easier integration of 2D / unstructured grids. Easier / better documented use of chunks and parallel computing / reading / writting.,Somewhat useful,Very useful,Very useful,Very useful,Critical,Very useful,Very useful,Very useful,Somewhat useful,Critical,Very useful,Very interested,Somewhat interested,Very interested,,Not interested,,4 (lowest priority),3,2,1 (highest priority),,
1/6/2021 12:36:31,Software engineer / developer,Astrophysics,Twitter,Regularly (~weekly),1,3,3,Yes,Documentation (http://xarray.pydata.org/),5 (most),3,4,1 (least),2,Most days,Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Regularly (~weekly),Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,Never,,,4,"Dask, astropy, pandas",,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Critical,Very useful,Somewhat useful,Somewhat interested,Not interested,Very interested,Somewhat interested,Very interested,Using units from astropy (import astropy.units).,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 12:40:04,Domain scientist / researcher,Geosciences,GitHub,Most days,4,2,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",5 (most),3,4,1 (least),2,Most days,Occasionally (~monthly),Regularly (~weekly),Never,Most days,Occasionally (~monthly),Never,Most days,Regularly (~weekly),Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,3,"dask, hvplot, dask-jobqueue","append to NetCDF along dimension, e.g. time",Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat interested,Very interested,Very interested,Not interested,Not interested,,3,4 (lowest priority),1 (highest priority),2,,
1/6/2021 12:40:41,Domain scientist / researcher,Geosciences,Friend,Most days,4,3,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),Documentation (http://xarray.pydata.org/),5 (most),4,3,2,1 (least),Never,Never,Occasionally (~monthly),Most days,Most days,Occasionally (~monthly),Never,Occasionally (~monthly),Most days,Never,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Never,,4,"dask, pandas, scikit-learn",Allowing variables in a dataset to have different coordinates.,Somewhat useful,Very useful,Very useful,Critical,Very useful,Critical,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Not interested,Somewhat interested,Somewhat interested,Not interested,,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 12:43:18,"Educator, Domain scientist / researcher","Statistics & Machine Learning, Thermodynamics, physics",Mailing list,Most days,4,3,4,Yes,,3,,,,,Most days,Occasionally (~monthly),Occasionally (~monthly),Never,Most days,Occasionally (~monthly),Never,Most days,Never,Never,Never,Never,Occasionally (~monthly),Never,Never,Never,Never,Never,,3,scipy,,Not relevant,Not relevant,Not relevant,Not relevant,Not relevant,Not relevant,Not relevant,Not relevant,Not relevant,Not relevant,Not relevant,Somewhat interested,Very interested,Somewhat interested,Not interested,Not interested,,,,,4 (lowest priority),,
1/6/2021 12:48:03,Domain scientist / researcher,Astrophysics,Twitter,Most days,2,2,2,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),Documentation (http://xarray.pydata.org/),5 (most),3,1 (least),4,2,Regularly (~weekly),Regularly (~weekly),Most days,,Most days,Most days,,Most days,,,,,Most days,,,,,,,3,"scipy, joblib, pandas, seaborn, scikit-learn",,Critical,,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Critical,Critical,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Very interested,,,4 (lowest priority),2,3,1 (highest priority),,
1/6/2021 13:10:27,"Data scientist, Software engineer / developer","Statistics & Machine Learning, Finance",Friend,Occasionally (~monthly),0,1,1,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",5 (most),2,1 (least),3,4,Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Regularly (~weekly),custom format,1,"pandas, ray",,,,,,,Very useful,Somewhat useful,Somewhat useful,,,Somewhat useful,,Somewhat interested,Somewhat interested,,,,,,,,,
1/6/2021 13:43:35,Domain scientist / researcher,Geosciences,Friend,Most days,3,2,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues), Github Discussions",4,3,5 (most),2,1 (least),Never,Never,Most days,Occasionally (~monthly),Most days,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Most days,Never,Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Never,Never,Never,Occasionally (~monthly),Never,,2,"dask, Jupyter, pandas, xgcm, xesmf, eofs, cartopy, proplot","more / improved examples on how best to 'wrap' existing, legacy codes for Xarray & Dask enabled calculations",Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Critical,Very useful,Very useful,Somewhat interested,Somewhat interested,Very interested,Very interested,Not interested,,4 (lowest priority),3,1 (highest priority),2,,
